"precinct","oblast","places","noplaces","type","size","ukrainian","district14par","registered14par","voted14parl","oppblock14par","porosh14par","r14parl","turnout14parl","registered14pres","voted14pres","turnout14pres","r14pres","Poroshenko","district","registered12","voted12","turnout12","r12","roads","rlon","rlat","quality.ent","quality","quality.UKR","distrussia","Raion","dist_regional","distkiev","donetsk","qualityq"
590884,"Сумська"," СУМИ",1,"city",3,77.44,157,1552,844,0.0497630331753555,0.25,13.9810426540284,0.543814432989691,1543,1005,0.651328580686973,9.35323383084577,645,157,1595,914,0.573040752351097,29.6498905908096,97.6952497386783,34.800672,50.908214,0.0251743796524603,36.3933060564273,0.975313698327037,3.42941208297572,"Sums",-1.33832082719086,5.72425170920907,388.135058505644,0.0727912929811414
590885,"Сумська"," СУМИ",1,"city",3,77.44,157,2368,1370,0.0408759124087591,0.25036496350365,11.2408759124088,0.578547297297297,2318,1593,0.687230371009491,8.91399874450722,978,157,2408,1463,0.607558139534884,27.5461380724539,82.3614839250234,34.795715,50.905214,0.02725336509271,37.300030973624,0.971376014105555,3.44071755421883,"Sums",-1.06564450532436,5.72297398562388,388.064828159069,0.0780677876077141
590886,"Сумська"," СУМИ",1,"city",3,77.44,157,1564,887,0.0372040586245772,0.255918827508455,11.4994363021421,0.567135549872123,1559,1080,0.692751763951251,8.88888888888889,669,157,1588,968,0.609571788413098,28.5123966942149,72.3494422553453,34.791949,50.901978,0.0282382077418737,37.4653154047654,0.966935713721686,3.45266472602355,"Sums",-0.174239419125897,5.72195547790752,387.925215673061,0.0790666008642693
590887,"Сумська"," СУМИ",1,"city",3,77.44,157,2152,1252,0.0519169329073482,0.273961661341853,11.5015974440895,0.5817843866171,2167,1494,0.689432395016151,7.83132530120482,913,157,2200,1310,0.595454545454545,25.4961832061069,47.2315148050287,34.784642,50.897673,0.0264509556003367,36.1286312788566,0.9601300093998,3.46866552219446,"Sums",0.517762566672533,5.72007541379197,387.834275699271,0.0713141447698614
590888,"Сумська"," СУМИ",1,"city",3,77.44,157,2396,1386,0.0526695526695527,0.264790764790765,12.049062049062,0.578464106844741,2369,1618,0.682988602785986,8.52904820766378,1043,157,2405,1483,0.616632016632017,27.1072151045179,45.8155974514896,34.787614,50.896152,0.0122007232757289,25.2620331429365,0.958845890721592,3.47352040141127,"Sums",0.44458821969119,5.72068060976328,387.574996623352,0.0300683156878461
590889,"Сумська"," СУМИ",1,"city",3,77.44,157,2324,1216,0.0509868421052632,0.255756578947368,14.4736842105263,0.523235800344234,2313,1450,0.626891482922611,9.51724137931035,904,157,2377,1310,0.551114850652082,29.618320610687,42.9142281507965,34.786862,50.89618,0.0142452232979966,27.4347534073959,0.958728158879378,3.47352390989717,"Sums",0.475834814268893,5.72051010584009,387.608314325465,0.0358332522757655
590890,"Сумська"," СУМИ",1,"city",3,77.44,157,1812,950,0.0357894736842105,0.266315789473684,10.4210526315789,0.524282560706402,1788,1191,0.666107382550336,7.55667506297229,708,157,1808,1042,0.576327433628319,26.5834932821497,50.6192407398873,34.779963,50.894947,0.0335650346493589,40.3721868360674,0.955480928890282,3.47869980670121,"Sums",0.796237199079603,5.71887193793527,387.779523619902,0.098638282984421
590891,"Сумська"," СУМИ",1,"city",3,77.44,157,1544,755,0.0701986754966887,0.290066225165563,21.3245033112583,0.488989637305699,1440,885,0.614583333333333,13.6723163841808,478,157,1543,900,0.583279325988334,44.3333333333333,21.172103222447,34.780217,50.884127,0.0371508396622962,41.7444792303253,0.941184002883498,3.51504940070658,"Sums",1.08480563987512,5.71841116514036,386.791731745334,0.109301598585187
590892,"Сумська"," СУМИ",1,"city",3,77.44,157,1972,1178,0.0365025466893039,0.268251273344652,11.9694397283531,0.5973630831643,1959,1345,0.686574783052578,9.66542750929368,848,157,1926,1158,0.601246105919003,24.8704663212435,19.0653370023045,34.780274,50.88371,0.0360178849630942,41.5184750262451,0.940622783550482,3.51641795848259,"Sums",1.09486851664395,5.71840453427039,386.751745076203,0.107478417852622
590893,"Сумська"," СУМИ",1,"city",3,77.44,157,1384,652,0.0322085889570552,0.282208588957055,7.66871165644172,0.471098265895954,1622,775,0.477805178791615,7.48387096774194,397,157,1915,1031,0.538381201044386,28.4190106692532,29.1092063490044,34.773781,50.88539,0.0450796302393099,43.8081354593128,0.941153778002194,3.51184809437135,"Sums",1.19399127044182,5.71699481690996,387.17055192158,0.127235100394723
